name=SetSketch2;numRegisters=4096;q=65534;base=1.00099999999999989e+00;a=2.00000000000000000e+01;registerStateType=registers with lower bound;bulkAddFirstAttemptSuccessProbability=9.49999999999999956e-01;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
108; 1.08025118137401535e+02; 1.45989628614672484e+00; 1.20800056511583986e+00; 2.98556198714730092e+00; 1.08025118134238738e+02; 1.45989604535702178e+00; 1.20800046551703244e+00; 2.98556197717824334e+00; 
109; 1.09025514155027921e+02; 1.48010420097050144e+00; 1.21632776374779539e+00; 2.96598275172286163e+00; 1.09025514151426748e+02; 1.48010395721309740e+00; 1.21632766362114064e+00; 2.96598273424898107e+00; 
110; 1.10028200574326348e+02; 1.50715926567258474e+00; 1.22734021089519474e+00; 2.97311749478929244e+00; 1.10028200569940225e+02; 1.50715901710861644e+00; 1.22734010973472163e+00; 2.97311746754659056e+00; 
111; 1.11030377953040045e+02; 1.53745840883182727e+00; 1.23957072763152065e+00; 2.99041158752759761e+00; 1.11030377948372688e+02; 1.53745815577025691e+00; 1.23957062566959664e+00; 2.99041156336384839e+00; 
112; 1.12033060074377218e+02; 1.56835628691173312e+00; 1.25190387745782195e+00; 3.00486746873503563e+00; 1.12033060070025968e+02; 1.56835602894032244e+00; 1.25190377454106749e+00; 3.00486744460172384e+00; 
113; 1.13033995689047430e+02; 1.59049813261001094e+00; 1.26069124917093900e+00; 2.99986310532944556e+00; 1.13033995684138731e+02; 1.59049786944657301e+00; 1.26069114493062129e+00; 2.99986309382662242e+00; 
114; 1.14034067353715614e+02; 1.61539437659622709e+00; 1.27052500644695820e+00; 2.99440313205516118e+00; 1.14034067349477510e+02; 1.61539411163073554e+00; 1.27052490228658455e+00; 2.99440312029025968e+00; 
115; 1.15034157849160366e+02; 1.63810066478096195e+00; 1.27942717890535107e+00; 2.97817720647633122e+00; 1.15034157844167225e+02; 1.63810039650758910e+00; 1.27942707419744317e+00; 2.97817719398844893e+00; 
116; 1.16035943191682378e+02; 1.66379844200079541e+00; 1.28938222764720423e+00; 2.98679808215395726e+00; 1.16035943186737825e+02; 1.66379816801217939e+00; 1.28938212153699960e+00; 2.98679806682475535e+00; 
117; 1.17036624259233562e+02; 1.69087074474494758e+00; 1.29981899062159800e+00; 2.98620987837893193e+00; 1.17036624254065543e+02; 1.69087046692525500e+00; 1.29981888389859712e+00; 2.98620986261513544e+00; 
