name=GeneralizedHyperLogLog;numRegisters=256;q=62;base=2.00000000000000000e+00;a=3.90625000000000000e-03;registerStateType=registers with lower bound;numExamples=10000;
true cardinality; simple mean; simple mse; simple standard deviation; simple kurtosis; ml mean; ml mse; ml standard deviation; ml kurtosis; 
65; 6.50952275142353898e+01; 8.82996051664064652e+00; 2.96999869312649878e+00; 2.96650350717349376e+00; 6.50957656617643039e+01; 8.59172503196214876e+00; 2.92959962622692593e+00; 2.97080268305734663e+00; 
66; 6.60897843365558231e+01; 9.07914861372176318e+00; 3.01182459426690574e+00; 2.93267336906620368e+00; 6.60909371396728034e+01; 8.83760029640861688e+00; 2.97141897635400865e+00; 2.93096470794991060e+00; 
67; 6.70929808068926121e+01; 9.35333722720051419e+00; 3.05690886301015885e+00; 2.94869050300932090e+00; 6.70938863929746390e+01; 9.10708125621073705e+00; 3.01633330410035372e+00; 2.94945677099071490e+00; 
68; 6.80954204613358769e+01; 9.66119980458390515e+00; 3.10678205546227870e+00; 2.96283098827297531e+00; 6.80967256861798234e+01; 9.41854233002426788e+00; 3.06743972583933555e+00; 2.96072224999109679e+00; 
69; 6.90963433079254372e+01; 9.91168086596824516e+00; 3.14680772100650596e+00; 2.96080492109945048e+00; 6.90976599589915992e+01; 9.66871956351304895e+00; 3.10792247263710397e+00; 2.96183575726077741e+00; 
70; 7.00960176859907449e+01; 1.02422189336515448e+01; 3.19890599074565607e+00; 2.95207714737317728e+00; 7.00972169785759007e+01; 9.99024380557846570e+00; 3.15923925410137185e+00; 2.95332270713682554e+00; 
71; 7.10986440155926545e+01; 1.05640059609250230e+01; 3.24873441806386909e+00; 2.94939810990764073e+00; 7.10996543903979870e+01; 1.03007272761026520e+01; 3.20792709994742786e+00; 2.94993992725770848e+00; 
72; 7.20997251122500700e+01; 1.08494743236602709e+01; 3.29234403209125492e+00; 2.93844519892977463e+00; 7.21006502639582010e+01; 1.05748710967867030e+01; 3.25034469266751591e+00; 2.94723515852744056e+00; 
73; 7.31002872739949083e+01; 1.11217879754633042e+01; 3.33342623109285840e+00; 2.95801381243624872e+00; 7.31010597006388991e+01; 1.08346002067280605e+01; 3.29004363856087378e+00; 2.95591546125275784e+00; 
74; 7.41111512248848783e+01; 1.14418875024479210e+01; 3.38075922059741485e+00; 2.94339963193189691e+00; 7.41123095318469609e+01; 1.11396224851664147e+01; 3.33571717239678156e+00; 2.94301716629939625e+00; 
75; 7.51097267457856645e+01; 1.17747627173734042e+01; 3.42968260319123708e+00; 2.93710550352390776e+00; 7.51109543926661019e+01; 1.14556312689915885e+01; 3.38279771664514683e+00; 2.93227074870491000e+00; 
76; 7.61166514837391475e+01; 1.21331720426744170e+01; 3.48131648575877595e+00; 2.95908007015853070e+00; 7.61182551760721253e+01; 1.18008595617369831e+01; 3.43320189838424916e+00; 2.94771358996854094e+00; 
77; 7.71227385594689707e+01; 1.24721568517516541e+01; 3.52946059586603900e+00; 2.97288662518947877e+00; 7.71237721930100832e+01; 1.21320986976642313e+01; 3.48091642271138291e+00; 2.96201819772016073e+00; 
78; 7.81287146270913127e+01; 1.27098341936741210e+01; 3.56276111161651121e+00; 2.95817448366149094e+00; 7.81285896476206574e+01; 1.23587468190132128e+01; 3.51314837738715458e+00; 2.94579838997920307e+00; 
79; 7.91375579463460781e+01; 1.30580506633168145e+01; 3.61097334173403706e+00; 2.95109024716199686e+00; 7.91368277344242017e+01; 1.26996290541507673e+01; 3.56102614778989146e+00; 2.93761248283492771e+00; 
80; 8.01466855546958357e+01; 1.33856180012681776e+01; 3.65569437307223088e+00; 2.93500187803928991e+00; 8.01463293966517796e+01; 1.30193648464750389e+01; 3.60526733463005833e+00; 2.92524140417645961e+00; 
81; 8.11582925106893214e+01; 1.36763562214669836e+01; 3.69476652882515122e+00; 2.91326854905409505e+00; 8.11573990541386792e+01; 1.32926494310313466e+01; 3.64250943290302898e+00; 2.90553298132931248e+00; 
82; 8.21674349692521844e+01; 1.40364151192901101e+01; 3.74277713073617413e+00; 2.96584440056959631e+00; 8.21661285436344286e+01; 1.36342976704361565e+01; 3.68872592874912142e+00; 2.95032582427081991e+00; 
83; 8.31670818195479882e+01; 1.44150481001292015e+01; 3.79303727449464834e+00; 2.99774341267221134e+00; 8.31662821008369093e+01; 1.39895991109581139e+01; 3.73656919832878209e+00; 2.98876966776332065e+00; 
84; 8.41697915642778440e+01; 1.48097188692659341e+01; 3.84459226628339756e+00; 2.97221345133456527e+00; 8.41690336287892080e+01; 1.43586347929319071e+01; 3.78550689145726471e+00; 2.95966305975882937e+00; 
85; 8.51689575368247631e+01; 1.51516932226446190e+01; 3.88884900367637965e+00; 2.97608761248328868e+00; 8.51686875851501668e+01; 1.46813473412113638e+01; 3.82790959138634168e+00; 2.96904394235065361e+00; 
86; 8.61773990025283467e+01; 1.55600416943271433e+01; 3.94063082364094486e+00; 2.97072063840226397e+00; 8.61770228805862786e+01; 1.50852163225770060e+01; 3.87993288889456656e+00; 2.95931119714795177e+00; 
87; 8.71868861514777223e+01; 1.58794954594856090e+01; 3.98052371251217618e+00; 2.93903573735459211e+00; 8.71872547509429268e+01; 1.54048422092456843e+01; 3.92043082677083099e+00; 2.92363394673970101e+00; 
88; 8.82000064751291433e+01; 1.62722441737182528e+01; 4.02892561157741902e+00; 2.92564632765894572e+00; 8.81999061956603185e+01; 1.57704638548930358e+01; 3.96616960905979887e+00; 2.90779564755081044e+00; 
89; 8.92023435003038401e+01; 1.65876548747325856e+01; 4.06776498615854987e+00; 2.92064470987395852e+00; 8.92011529935165015e+01; 1.60859984731671446e+01; 4.00568794920005278e+00; 2.90411942488362307e+00; 
90; 9.02030833687845472e+01; 1.69068882238254865e+01; 4.10678041404077376e+00; 2.92356501766136478e+00; 9.02016110197534715e+01; 1.64011998493195641e+01; 4.04481802384650457e+00; 2.90595897573546313e+00; 
